sitios;Lat;Long;Rangos Prof.;Región;T ;Sal;Den;O2%;Chla;Ptrars;Orthyc;Gzolvc;Nclncs;Arczbr;Mcmtnt;Trgnca;Lvcrds;Xnphrl;Nclnac;Prpmsd;Tllnpr;Csmsp.;Abrlng;Plystt;Nmcrdt;Pctnch;Aqpctl;Nldltt;Nmcrdp;Brbtcn;Llsp.1;Lptchb;Prtlnn;Lvdntc;Tllnpr;Smrsst;Ccclnm;Prmymr;Mcmpsd;Lvcrdl;Tllnmr;Nclplc;Clyptc;Prmyrs;Scphwr;Flgrfb;Nsssp.;Nelsp.;Mlnclr;Nclnvt;Tllnjt;Lcsyrv;Crdmyp;Plrbri;Ntcrth;Nclsp.;Cccsp.;Lvcrdp;Antsp.;Tndrcy;Cmpsdg;Orthys;Pzllor;Sirtsb;Entlnp;Ccclnr;Dntlma;Cplsp.
58;11,34;-74,18;100-150;N;20,361542;36,633795;26,56401;5,6041667;0,1;10;0;0;16;0;2;43;88;0;0;0;2;0;0;1;26;77;41;0;0;0;0;0;0;0;3;0;0;0;0;16;1;0;13;0;0;0;0;0;0;29;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;0
59;11,3;-74,17;100-150;N;20,349167;36,630432;26,573481;5,585;0,1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;62;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;11,1;-74,68;20-90;N;24,984542;36,667068;24,916165;6,4025;0,36136364;0;0;0;0;0;7;0;0;0;0;0;0;1;0;3;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
61;11,15;-74,69;20-90;N;26,548042;36,383068;24,041571;6,9425;0,4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
62;11,1;-74,9;20-90;M;26,726458;36,35425;23,911544;6,8816667;0,2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;28;0;0;1;2;0;0;0;0;0;0;0;23;0;0;0;10;0;0;0;0;0;2;0;0;0;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0
63;10,94;-75,11;20-90;M;25,509033;36,681182;24,756286;6,8413333;0,2;0;0;0;3;0;1;0;0;0;0;0;1;0;0;2;6;0;3;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;7;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
64;11,02;-75,14;Aisladas;M;20,092958;36,624841;26,629659;5,5958333;0,1;0;1;0;41;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;11,04;-75,19;20-90;M;28,318625;35,942432;23,084246;6,9395833;0,1;0;6;0;0;0;0;0;0;0;33;0;0;0;22;10;0;0;0;0;0;0;0;4;5;0;0;2;1;0;0;0;0;2;0;0;1;0;0;40;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0
66;10,54;-75,62;20-90;M;25,731625;36,588795;24,621443;6,90875;0,5;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;23;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;7;1;0;0
67;10,09;-75,94;100-150;M;20,42625;36,666523;26,558378;5,655;0,1;0;1;0;108;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;41;0;0;3;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
